SimulationTime,Episode,Step,TotalVehicles,VehiclesWaiting,QueueLength,CumulativeReward,CurrentReward,CurrentPhase,GreenLightTime,FuelConsumed,AverageWaitTime
2815.51,94,12,333,2,2,0,75,1,20,0,0
2825.51,95,3,334,3,3,0,50,2,30,0,0
2835.51,95,10,336,5,5,0,50,2,30,0,0
2845.51,95,15,337,6,6,0,50,2,30,0,0
2855.51,96,4,338,4,4,0,50,0,40,0,0
2865.51,96,8,339,1,1,0,50,0,40,0,0
2875.51,96,11,340,1,1,0,50,0,40,0,0
2885.51,96,16,341,1,1,0,50,0,40,0,0
2895.51,97,6,343,2,2,0,62.5,1,20,0,0
2905.51,97,14,344,3,3,0,62.5,1,20,0,0
2915.51,98,3,345,4,4,0,75,2,30,0,0
2925.51,98,9,346,5,5,0,75,2,30,0,0
2935.51,98,15,347,6,6,0,75,2,30,0,0
2945.51,99,5,349,5,5,0,50,0,40,0,0
2955.51,99,8,350,1,1,0,50,0,40,0,0
2965.51,99,10,351,1,1,0,50,0,40,0,0
2975.51,99,17,352,1,1,0,50,0,40,0,0
2985.51,100,6,353,1,1,0,62.5,1,19,0,0
2995.51,100,13,355,3,3,0,62.5,1,19,0,0
3005.51,101,4,356,4,4,0,50,2,30,0,0
3015.51,101,10,357,5,5,0,50,2,30,0,0
3025.51,101,16,359,7,7,0,50,2,30,0,0
3035.51,102,5,360,5,5,0,66.66666,0,33,0,0
3045.51,102,8,361,1,1,0,66.66666,0,33,0,0
3055.51,102,10,362,1,1,0,66.66666,0,33,0,0
3065.51,103,3,364,2,2,0,60.00014,1,24,0,0
3075.51,103,9,365,3,3,0,60.00014,1,24,0,0
3085.51,103,16,367,5,5,0,60.00014,1,24,0,0
3095.51,104,3,368,5,5,0,74.99977,2,30,0,0
3105.51,104,9,369,6,6,0,74.99977,2,30,0,0
3115.51,104,13,370,7,7,0,74.99977,2,30,0,0
3125.51,105,4,372,6,6,0,66.66666,0,40,0,0
3135.51,105,7,373,1,1,0,66.66666,0,40,0,0
3145.51,105,9,374,1,1,0,66.66666,0,40,0,0
3155.51,105,14,375,1,1,0,66.66666,0,40,0,0
3165.51,106,4,376,1,1,0,50,1,20,0,0
3175.51,106,11,378,3,3,0,50,1,20,0,0
3185.51,107,3,379,2,2,0,75,2,30,0,0
3195.51,107,10,380,3,3,0,75,2,30,0,0
3205.51,107,15,381,4,4,0,75,2,30,0,0
3215.51,108,4,382,2,2,0,50,0,40,0,0
3225.51,108,8,383,1,1,0,50,0,40,0,0
3235.51,108,10,384,1,1,0,50,0,40,0,0
3245.51,108,16,386,2,2,0,50,0,40,0,0
3255.51,109,5,387,2,2,0,62.5,1,20,0,0
3265.51,109,12,388,3,3,0,62.5,1,20,0,0
3275.51,110,3,390,5,5,0,75,2,30,0,0
3285.51,110,10,391,6,6,0,75,2,30,0,0
3295.51,110,16,393,8,8,0,75,2,30,0,0
3305.51,111,4,394,6,6,0,66.66666,0,40,0,0
3315.51,111,8,395,1,1,0,66.66666,0,40,0,0
3325.51,111,11,396,1,1,0,66.66666,0,40,0,0
3335.51,111,16,397,1,1,0,66.66666,0,40,0,0
3345.51,112,5,399,2,2,0,62.5,1,20,0,0
3355.51,112,11,400,3,3,0,62.5,1,20,0,0
3365.51,113,4,401,1,1,0,50,2,24,0,0
3375.51,113,9,402,2,2,0,50,2,24,0,0
3385.51,113,16,403,3,3,0,50,2,24,0,0
3395.51,114,5,404,1,1,0,56.25034,0,40,0,0
3405.51,114,8,406,2,2,0,56.25034,0,40,0,0
3415.51,114,12,407,1,1,0,56.25034,0,40,0,0
3425.51,114,17,409,2,2,0,56.25034,0,40,0,0
