Episode,TotalVehicles,VehiclesWaiting,EpisodeDuration,CumulativeReward,CurrentReward,CurrentPhase,GreenLightTime,FuelConsumed
309,1113,1,43.33398,57.69144,57.69144,0,42,0
310,1115,3,20,50,50,1,20,0
311,1119,6,30,66.66666,66.66666,2,30,0
312,1124,1,40,62.5,62.5,0,40,0
313,1126,3,20,50,50,1,20,0
314,1130,7,30,66.66666,66.66666,2,30,0
315,1134,1,40,50,50,0,40,0
316,1137,4,20,75,75,1,20,0
317,1140,7,30,50,50,2,30,0
318,1145,2,40,62.5,62.5,0,39,0
319,1147,3,16.66602,60.00234,60.00234,1,16,0
320,1150,6,30,50,50,2,30,0
321,1155,1,40,62.5,62.5,0,40,0
322,1157,3,20,50,50,1,20,0
323,1161,7,30,66.66666,66.66666,2,30,0
324,1165,1,40,50,50,0,40,0
325,1167,2,20,50,50,1,20,0
326,1171,5,30,66.66666,66.66666,2,30,0
327,1175,1,40,50,50,0,40,0
328,1178,3,20,75,75,1,20,0
329,1181,4,30,50,50,2,30,0
330,1187,2,40,75,75,0,40,0
331,1189,3,20,50,50,1,20,0
332,1192,4,30,50,50,2,30,0
333,1197,1,40,62.5,62.5,0,40,0
334,1199,3,20,50,50,1,20,0
335,1203,5,30,66.66666,66.66666,2,30,0
336,1207,1,40,50,50,0,40,0
337,1209,3,20,50,50,1,20,0
338,1212,3,26.66699,56.24931,56.24931,2,26,0
339,1217,1,40,62.5,62.5,0,40,0
340,1220,4,20,75,75,1,20,0
341,1223,6,30,50,50,2,30,0
342,1228,1,40,62.5,62.5,0,40,0
343,1230,3,20,50,50,1,20,0
344,1234,7,30,66.66666,66.66666,2,30,0
345,1238,1,40,50,50,0,40,0
346,1241,3,20,75,75,1,20,0
347,1244,5,30,50,50,2,30,0
348,1249,1,40,62.5,62.5,0,40,0
349,1251,3,20,50,50,1,20,0
350,1255,7,30,66.66666,66.66666,2,30,0
351,1260,1,40,62.5,62.5,0,40,0
352,1262,3,20,50,50,1,20,0
353,1266,7,30,66.66666,66.66666,2,30,0
354,1271,1,40,62.5,62.5,0,40,0
355,1273,3,20,50,50,1,20,0
356,1277,5,30,66.66666,66.66666,2,30,0
357,1282,1,40,62.5,62.5,0,40,0
358,1285,4,20,75,75,1,20,0
359,1288,7,30,50,50,2,30,0
360,1293,1,46.66699,53.57106,53.57106,0,44,0
361,1296,3,20,75,75,1,20,0
362,1300,6,30,66.66666,66.66666,2,30,0
363,1304,1,40,50,50,0,40,0
364,1307,3,20,75,75,1,20,0
365,1309,5,23.33301,42.85774,42.85774,2,23,0
366,1314,2,40,62.5,62.5,0,37,0
367,1316,3,20,50,50,1,20,0
