Step,Episode,TotalVehicles,VehiclesWaiting,SimulationTime
515,18,195,1,1623.049
516,18,196,1,1626.382
517,18,196,1,1629.716
518,18,196,1,1633.049
519,18,197,2,1636.382
520,18,197,2,1639.716
521,18,197,2,1643.049
522,18,198,3,1646.382
523,18,198,3,1649.716
524,18,199,4,1653.049
525,18,199,4,1656.382
526,18,199,4,1659.716
527,18,200,4,1663.049
528,18,200,4,1666.382
529,18,201,5,1669.716
530,18,201,5,1673.049
531,18,202,6,1676.382
532,18,202,6,1679.716
533,18,203,7,1683.049
534,18,203,7,1686.382
535,18,203,7,1689.716
536,18,204,5,1693.049
537,18,204,2,1696.382
538,18,205,2,1699.716
539,18,205,1,1703.049
540,18,206,2,1706.382
541,19,206,1,1709.716
542,19,206,1,1713.049
543,19,207,1,1716.382
544,19,207,1,1719.716
545,19,207,1,1723.049
546,19,208,2,1726.382
547,19,208,2,1729.716
548,19,208,2,1733.049
549,19,209,3,1736.382
550,19,209,3,1739.716
551,19,209,3,1743.049
552,19,210,4,1746.382
553,19,210,4,1749.716
554,19,210,4,1753.049
555,19,211,5,1756.382
556,19,211,5,1759.716
557,19,211,5,1763.049
558,19,212,6,1766.382
559,19,212,6,1769.716
560,19,212,6,1773.049
561,19,213,7,1776.382
562,19,213,7,1779.716
563,19,214,6,1783.049
564,19,214,2,1786.382
565,19,214,1,1789.716
566,19,215,1,1793.049
567,19,215,1,1796.382
568,19,216,2,1799.716
569,19,216,1,1803.049
570,19,217,2,1806.382
571,20,217,1,1809.716
572,20,217,1,1813.049
573,20,218,2,1816.382
574,20,218,2,1819.716
575,20,218,2,1823.049
576,20,219,3,1826.382
577,20,219,3,1829.716
578,20,220,4,1833.049
579,20,220,4,1836.382
580,20,220,4,1839.716
581,20,221,4,1843.049
582,20,221,4,1846.382
583,20,221,4,1849.716
584,20,222,5,1853.049
585,20,222,5,1856.382
586,20,223,6,1859.716
587,20,223,6,1863.049
588,20,223,6,1866.382
589,20,224,7,1869.716
590,20,224,4,1873.049
591,20,224,2,1876.382
592,20,225,1,1879.716
593,20,225,1,1883.049
594,20,226,2,1886.382
595,20,226,1,1889.716
596,20,226,1,1893.049
597,20,227,1,1896.382
598,20,227,1,1899.716
599,20,228,2,1903.049
600,20,228,2,1906.382
601,21,228,2,1909.716
602,21,229,3,1913.049
603,21,229,3,1916.382
604,21,229,3,1919.716
605,21,230,4,1923.049
606,21,230,4,1926.382
607,21,231,5,1929.716
608,21,231,5,1933.049
609,21,231,5,1936.382
610,21,232,6,1939.716
611,21,232,6,1943.049
612,21,233,7,1946.382
613,21,233,7,1949.716
614,21,233,7,1953.049
615,21,234,8,1956.382
616,21,234,8,1959.716
617,21,235,6,1963.049
618,21,235,3,1966.382
619,21,236,2,1969.716
620,21,236,1,1973.049
621,21,237,2,1976.382
622,21,237,1,1979.716
623,21,237,1,1983.049
624,21,238,1,1986.382
625,21,238,1,1989.716
626,21,239,2,1993.049
627,21,239,2,1996.382
628,21,240,3,1999.716
629,21,240,3,2003.049
630,21,240,3,2006.382
631,22,241,4,2009.716
632,22,241,4,2013.049
633,22,242,5,2016.382
634,22,242,5,2019.716
635,22,242,3,2023.049
636,22,243,4,2026.382
637,22,243,4,2029.716
638,22,243,4,2033.049
639,22,244,5,2036.382
640,22,244,5,2039.716
641,22,245,6,2043.049
642,22,245,6,2046.382
643,22,246,7,2049.716
644,22,246,4,2053.049
645,22,246,1,2056.382
646,22,247,1,2059.716
647,22,247,1,2063.049
648,22,247,1,2066.382
649,22,248,1,2069.716
650,22,248,1,2073.049
651,22,249,2,2076.382
652,22,249,1,2079.716
653,22,249,1,2083.049
654,22,250,2,2086.382
655,22,250,2,2089.716
656,22,250,2,2093.049
657,22,251,3,2096.382
658,22,251,3,2099.716
659,22,251,3,2103.049
660,22,252,4,2106.382
661,23,252,4,2109.716
662,23,253,4,2113.049
